index,Company,TypeName,Inches,ScreenResolution,cpu_brand,cpu_name,cpu_speed,Ram,Memory,gpu_brand,gpu_name,OpSys,Weight,Price
0,Apple,Ultrabook,13.30,IPS Panel Retina Display 2560x1600,Intel, Core i5 ,2.3,8.0,128GB SSD,Intel, Iris Plus Graphics 640,mac,1.40,71379
1,Apple,Ultrabook,13.30,1440x900,Intel, Core i5 ,1.8,8.0,128GB Flash Storage,Intel, HD Graphics 6000,mac,1.30,47896
2,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,N/A,1.90,30636
3,Apple,Ultrabook,15.40,IPS Panel Retina Display 2880x1800,Intel, Core i7 ,2.7,16.0,512GB SSD,AMD, Radeon Pro 455,mac,1.80,135195
4,Apple,Ultrabook,13.30,IPS Panel Retina Display 2560x1600,Intel, Core i5 ,3.1,8.0,256GB SSD,Intel, Iris Plus Graphics 650,mac,1.40,96096
5,Acer,Notebook,15.60,1366x768,AMD, A9-Series 9420 ,3.0,4.0,500GB HDD,AMD, Radeon R5,windows,2.10,21312
6,Apple,Ultrabook,15.40,IPS Panel Retina Display 2880x1800,Intel, Core i7 ,2.2,16.0,256GB Flash Storage,Intel, Iris Pro Graphics,mac,2.00,114018
7,Apple,Ultrabook,13.30,1440x900,Intel, Core i5 ,1.8,8.0,256GB Flash Storage,Intel, HD Graphics 6000,mac,1.30,61736
8,Asus,Ultrabook,14.00,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Nvidia, GeForce MX150,windows,1.30,79654
9,Acer,Ultrabook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.60,41026
10,HP,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,4.0,500GB HDD,Intel, HD Graphics 620,N/A,1.90,20987
11,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,500GB HDD,Intel, HD Graphics 520,N/A,1.90,18381
12,Apple,Ultrabook,15.40,IPS Panel Retina Display 2880x1800,Intel, Core i7 ,2.8,16.0,256GB SSD,AMD, Radeon Pro 555,mac,1.80,130002
13,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,256GB SSD,AMD, Radeon R5 M430,windows,2.20,26581
14,Apple,Ultrabook,12.00,IPS Panel Retina Display 2304x1440,Intel, Core M m3 ,1.2,8.0,256GB SSD,Intel, HD Graphics 615,mac,0.90,67261
15,Apple,Ultrabook,13.30,IPS Panel Retina Display 2560x1600,Intel, Core i5 ,2.3,8.0,256GB SSD,Intel, Iris Plus Graphics 640,mac,1.40,80908
16,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,AMD, Radeon R5 M430,windows,2.20,39694
17,Apple,Ultrabook,15.40,IPS Panel Retina Display 2880x1800,Intel, Core i7 ,2.9,16.0,512GB SSD,AMD, Radeon Pro 560,mac,1.80,152274
18,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 7100U ,2.4,8.0,1TB HDD,Nvidia, GeForce 940MX,N/A,2.20,26587
